,income,credit_score,loan_amount,years_employed,points,loan_approved
0,113810,389,39698,27,50.0,0
1,44592,729,15446,28,55.0,0
2,33278,584,11189,13,45.0,0
3,127196,344,48823,29,50.0,0
4,66048,496,47174,4,25.0,0
5,62098,689,19217,29,65.0,1
6,59256,373,40920,40,35.0,0
7,48289,524,45866,20,25.0,0
8,126530,367,14826,36,55.0,0
9,43434,446,18359,8,20.0,0
10,118696,670,15373,8,75.0,1
11,127080,365,26216,24,55.0,0
12,146939,573,43006,21,50.0,0
13,101482,819,7973,40,100.0,1
14,41395,843,1037,38,80.0,1
15,107397,380,6613,31,60.0,1
16,85302,469,18370,33,50.0,0
17,34165,682,29711,33,50.0,0
18,33905,525,1471,4,30.0,0
19,42280,543,19250,31,25.0,0
20,58657,716,13478,6,65.0,1
21,60495,400,4972,25,50.0,0
22,96237,443,28648,11,45.0,0
23,108907,400,4315,34,60.0,1
24,33478,792,15008,25,60.0,1
25,103563,592,28722,35,65.0,1
26,56062,362,21552,3,30.0,0
27,123850,382,13178,4,45.0,0
28,115181,383,28474,37,55.0,0
29,121924,434,45019,19,50.0,0
30,101426,402,5801,34,60.0,1
31,84987,748,36600,19,75.0,1
32,58893,406,9800,16,45.0,0
33,88878,651,14342,40,65.0,1
34,107236,345,1232,21,60.0,1
35,66463,309,8331,4,35.0,0
36,136093,451,29166,8,50.0,0
37,143940,405,24178,35,55.0,0
38,30851,481,28020,1,10.0,0
39,129458,573,11433,6,55.0,0
40,135620,658,21000,14,70.0,1
41,50926,659,43040,32,50.0,0
42,121506,482,39049,16,50.0,0
43,85392,418,26244,36,45.0,0
44,74597,638,41839,20,50.0,0
45,66421,712,46692,18,60.0,1
46,50379,608,27612,35,50.0,0
47,58221,518,34500,30,35.0,0
48,130072,395,16392,19,55.0,0
49,74118,374,30846,26,35.0,0
50,43396,451,43995,0,10.0,0
51,42156,775,4291,35,70.0,1
52,79797,624,30004,39,60.0,1
53,42676,760,17986,15,60.0,1
54,77052,750,6077,18,90.0,1
55,141082,456,47295,13,50.0,0
56,75082,698,39278,1,50.0,0
57,109131,729,36272,34,75.0,1
58,64671,698,23028,25,65.0,1
59,135791,385,43123,27,50.0,0
60,35695,634,23118,24,40.0,0
61,125647,353,23935,14,55.0,0
62,90217,456,16633,8,45.0,0
